cluster_num,top_title,description,link
137,"파인그로브, AI 기반 컨텐츠 제작 프로그램 저작권 등록 및 특허출원","또한, 파인그로브는 새로운 특허 출원을 통해 기술 개발에 박차를 가하고 있다. 이번 특허 출원은 생성형 인공지능(AI) 모델을 활용한 뷰티 콘텐츠 생성 및 디자이너의 재가공을 통한 온라인 마케팅 및 커머스 플랫폼 제공 방법에 관한 것이다. 이 기술은 기존의 뷰티 산업 내에서 소비자 맞춤형 콘텐츠 제작의...",http://www.kdpress.co.kr/news/articleView.html?idxno=130968
140,"""쟁기질-로터리 작업 한꺼번에""…해남서 '멀티롤 고속쟁기' 연시회","멀티롤 고속쟁기는 ㈜G금강이엔지가 자체 기술력으로 연구·개발 및 생산한 특허제품이다. 제품의 내구성 확보, 다기능화를 위해 최적의 회전수(RPM) 적용과 충격흡수미션장치를 장착하는 등 기술적 시행착오를 극복하고 올해 하반기 출시될 예정이다. 또 이날 행사에서는 농촌진흥청이 2025년 시범사업으로...",https://www.newsis.com/view/NISX20240807_0002841328
142,"LG엔솔-금호석화, 전고체 배터리 소재 공동 개발…中 특허 획득",LG에너지솔루션(373220)과 금호석유화학(011780)이 공동 개발한 전고체 배터리 소재가 중국 특허 승인을 받았다. 2일 배터리 업계에 따르면 지난달 LG엔솔은 금호석유화학의 SBS(스티렌 부타디엔 스티렌)로 개발한 전해질막을 중국에 특허 등록했다. 전고체 배터리는 양극과 음극 사이에서 이온을 전달하는...,https://www.news1.kr/industry/general-industry/5500016
144,전기차 화재에 주목받는 '전고체 배터리'…양산 언제쯤,제목의 특허를 출원하고 승인받았다. 전 세계로 영역을 확장하면 전고체 배터리 기술에서 가장 앞서 있는 곳은 일본이다. 일본은 전 세계 전고체 배터리 관련 특허 출원의 절반을 보유했다. 일본 정부는 최근 전고체 배터리 연구 개발에 민간과 함께 5조6000억엔(약 54조원)을 투자한다고 발표했다. 전고체...,https://www.newsis.com/view/NISX20240806_0002840282
150,"뷰노, '뇌 들여다본다'…美 진출 앞둔 '딥브레인', 특허 등록",의료 인공지능(AI) 기업 뷰노는 최근 미국에서 공식 출시한 AI 기반 뇌 정량화 의료기기 뷰노메드 딥브레인과 관련한 핵심 기술 2건에 대한 특허가 미국에서 등록 결정됐다고 30일 밝혔다. 이번 미국에 등록된 2건의 특허는 딥러닝 기반 뇌 자기공명영상(MRI) 분석 기술의 효율을 높이고 다양한 활용 가능성을...,https://view.asiae.co.kr/article/2024073011173487327
152,"압타머사이언스, 'TROP2' 표적 항암신약물질 특허 출원",압타머사이언스(291650)는 암세포 표면에 존재하는 'TROP2' 표적 단백질에 대한 압타머-약물접합체(ApDC) 물질에 대한 특허를 출원했다고 29일 밝혔다. 이번에 특허 출원된 ApDC 물질은 췌장암 동물모델에서 FDA의 승인을 받은 동일표적동일표적 항체-약물접합체(ADC)인 '트로델비'(Trodelvy)보다 표적침투력이...,https://www.news1.kr/bio/pharmaceutical-bio/5494266
153,"디엑스앤브이엑스, 경구용 비만치료제 물질 특허 조기 출원 결정","디엑스앤브이엑스가 경구용 비만치료제의 물질 특허를 조기에 출원하기로 결정했다고 30일 밝혔다. 기존 연내 출원을 목표로 했으나, 이르면 올... 디엑스앤브이엑스는 실험 결과의 자신감을 바탕으로 바이오 의약품 국제 특허 전문 변리사와 미팅을 한 결과, 경구용 비만치료제 복수의 물질 특허를 앞당겨...",http://www.edaily.co.kr/news/newspath.asp?newsid=02807686638959768
158,"김동현 전주대 교수, 국제발명대회서 전기차 화재 소화장치로 금ㆍ은상",전주대학교(총장 박진배)는 김동현 소방안전공학과 교수가 지난달 열린 미국 실리콘밸리 국제 발명대회에서 특허 출원한 전기차 화재 조기 감지ㆍ자동 소화장치 기술 2건으로 각각 금상과 은상을 수상했다고 지난 7일 밝혔다. 이번 대회에서 김 교수가 수상한 발명특허는 ‘전기차 배터리 화재 진압을 위한 무인...,http://fpn119.co.kr/220722
159,"박경수 대표, “전기 자동차 전용 이동식 소방장비 개발·특허 출원” 밝혀","대표가 특허를 출원한 전기차 전용 소방장비는 화재 초반부터 장비를 설치해 전기차의 화재를 진압하기 때문에 시간과 인력, 유해가스 등을 최대한 줄 일 수 있는 “전기 자동차 전용 이동식 소방장비 개발·특허 출원” 태웅특허에 지난 7월 28일에 제출했다고 밝혔다. 박 대표는 2023년 국내에 보급된 전기...",https://www.geconomy.co.kr/news/article.html?no=287701
160,"GS칼텍스, 저탄소 고부가 소재 만든다",특허 보유한 촉매기술 적용 여수산단 배출 탄소 재활용 연료 전환·첨단소재 생산 전남도·여수시와 업무협약 순환경제 생태계 구축 나서 GS칼텍스가... GS칼텍스는 CCU 기술을 활용한 CO2 폴리올 개발 과정에서 반응 속도를 높이는 촉매 기술로 특허까지 출원하며 기술 경쟁력을 입증했다. GS칼텍스 관계자는...,https://www.mk.co.kr/article/11086472
162,"특허청, 협동로봇 디자인 출원 증가세…스마트공장, 수술실 등 활약","특허청은 31일 로봇 디자인 출원 동향에 관한 심층분석 결과 보고서를 내놨다. 보고서는 디자인심사관이 로봇에 관한 디자인을 효율적으로 심사하기... 주요 내용은 한국, 미국, 일본, 중국, 독일, 유럽연합, 세계지식재산기구(WIPO) 등 주요국 특허청 및 기관에 출원된 로봇 관련 디자인을 용도에 따라 개인용...",https://www.etnews.com/20240731000149
